applicant_id,age,income,loan_amount,credit_score,employment_years,debt_to_income,previous_defaults,gender,race,zip_code,approved
APP001,34,75000,25000,720,8,0.35,0,M,White,10001,1
APP002,28,52000,18000,680,3,0.42,0,F,Black,10002,0
APP003,45,95000,35000,780,15,0.28,0,M,White,10003,1
APP004,31,48000,15000,650,5,0.48,1,F,Hispanic,10004,0
APP005,52,120000,50000,810,20,0.22,0,M,Asian,10005,1
APP006,29,55000,20000,690,4,0.38,0,F,White,10006,1
APP007,38,68000,28000,700,10,0.40,0,M,Black,10007,0
APP008,42,88000,32000,750,12,0.30,0,F,White,10008,1
APP009,26,45000,12000,640,2,0.52,1,M,Hispanic,10009,0
APP010,50,110000,45000,790,18,0.25,0,F,Asian,10010,1
APP011,33,62000,22000,710,7,0.36,0,M,White,10011,1
APP012,27,49000,16000,670,3,0.44,0,F,Black,10012,0
APP013,41,82000,30000,740,11,0.32,0,M,White,10013,1
APP014,35,58000,20000,685,6,0.40,1,F,Hispanic,10014,0
APP015,48,105000,40000,800,16,0.24,0,M,Asian,10015,1
APP016,30,54000,19000,695,5,0.39,0,F,White,10016,1
APP017,39,72000,27000,715,9,0.37,0,M,Black,10017,0
APP018,44,92000,34000,760,13,0.29,0,F,White,10018,1
APP019,25,42000,10000,630,1,0.55,1,M,Hispanic,10019,0
APP020,51,115000,48000,805,19,0.23,0,F,Asian,10020,1
APP021,32,60000,21000,705,6,0.38,0,M,White,10021,1
APP022,28,50000,17000,675,4,0.43,0,F,Black,10022,0
APP023,40,85000,31000,745,12,0.31,0,M,White,10023,1
APP024,36,65000,24000,700,8,0.39,1,F,Hispanic,10024,0
APP025,49,108000,42000,795,17,0.26,0,M,Asian,10025,1
APP026,31,56000,20000,690,5,0.40,0,F,White,10026,1
APP027,37,70000,26000,720,10,0.36,0,M,Black,10027,0
APP028,43,90000,33000,755,14,0.30,0,F,White,10028,1
APP029,24,40000,9000,625,1,0.58,1,M,Hispanic,10029,0
APP030,53,118000,50000,810,20,0.22,0,F,Asian,10030,1
APP031,33,63000,23000,712,7,0.37,0,M,White,10031,1
APP032,29,51000,18000,680,4,0.42,0,F,Black,10032,0
APP033,41,83000,29000,740,11,0.33,0,M,White,10033,1
APP034,35,59000,21000,688,7,0.41,1,F,Hispanic,10034,0
APP035,47,102000,38000,785,15,0.27,0,M,Asian,10035,1
APP036,30,55000,19000,693,5,0.39,0,F,White,10036,1
APP037,38,71000,27000,718,10,0.38,0,M,Black,10037,0
APP038,44,93000,35000,762,13,0.29,0,F,White,10038,1
APP039,26,43000,11000,635,2,0.54,1,M,Hispanic,10039,0
APP040,50,112000,46000,802,18,0.24,0,F,Asian,10040,1
APP041,32,61000,22000,708,6,0.38,0,M,White,10041,1
APP042,27,48000,16000,672,3,0.44,0,F,Black,10042,0
APP043,39,81000,30000,738,11,0.33,0,M,White,10043,1
APP044,36,64000,24000,698,8,0.40,1,F,Hispanic,10044,0
APP045,48,106000,41000,798,16,0.25,0,M,Asian,10045,1
APP046,31,57000,20000,692,5,0.40,0,F,White,10046,1
APP047,37,69000,26000,716,9,0.37,0,M,Black,10047,0
APP048,42,89000,32000,752,12,0.31,0,F,White,10048,1
APP049,25,41000,10000,628,1,0.56,1,M,Hispanic,10049,0
APP050,52,116000,49000,808,19,0.23,0,F,Asian,10050,1
